# step cn bias_eV energy_eV temperature_K
209000 0.264502 7.7861767359e-01 -275288.093750 328.94
209500 0.158607 6.8641235972e-01 -275287.875000 293.15
210000 0.231703 7.6753071103e-01 -275287.968750 297.22
210500 0.197811 7.4099148024e-01 -275287.375000 301.03
211000 0.121141 6.3255103863e-01 -275287.812500 278.90
211500 0.121892 6.3752582495e-01 -275288.343750 274.98
212000 0.109832 6.1859423538e-01 -275288.531250 278.68
212500 0.088515 5.7976023708e-01 -275289.156250 290.85
213000 0.064890 5.3320472030e-01 -275288.062500 299.40
213500 0.072557 5.5476293363e-01 -275289.593750 284.03
214000 0.063789 5.3998522040e-01 -275288.250000 311.23
214500 0.061299 5.3910720409e-01 -275288.562500 295.74
215000 0.040553 4.9650887718e-01 -275288.031250 303.88
215500 0.031512 4.8068821973e-01 -275287.968750 292.95
216000 0.036920 4.9881336648e-01 -275288.500000 283.46
216500 0.040309 5.1190673220e-01 -275286.875000 299.57
217000 0.046577 5.3137799056e-01 -275287.031250 306.22
217500 0.034990 5.0933383771e-01 -275288.281250 299.02
218000 0.045931 5.3973363963e-01 -275286.406250 308.88
218500 0.042944 5.3753915746e-01 -275288.906250 279.06
219000 0.043573 5.4368175253e-01 -275288.312500 319.04
219500 0.052948 5.6962127042e-01 -275289.156250 308.76
220000 0.052319 5.7250377405e-01 -275287.281250 296.63
220500 0.038892 5.4598751422e-01 -275289.812500 292.06
221000 0.049606 5.7520900801e-01 -275289.562500 299.19
221500 0.056510 5.9491728554e-01 -275288.781250 279.73
222000 0.044336 5.7139752933e-01 -275289.718750 289.57
222500 0.058695 6.0800455016e-01 -275289.625000 298.29
223000 0.043593 5.7780434839e-01 -275289.281250 304.01
223500 0.037828 5.6857613228e-01 -275289.625000 277.56
224000 0.047365 5.9496813692e-01 -275289.937500 314.23
224500 0.053298 6.1237027939e-01 -275289.218750 289.64
225000 0.053630 6.1692961359e-01 -275289.250000 300.32
225500 0.060104 6.3496095657e-01 -275289.593750 301.13
226000 0.044717 6.0404640416e-01 -275288.125000 301.71
226500 0.049539 6.1897981186e-01 -275288.250000 310.88
227000 0.035829 5.9087969146e-01 -275288.468750 295.58
227500 0.049068 6.2569393771e-01 -275288.312500 295.64
228000 0.034861 5.9629065297e-01 -275289.531250 296.96
228500 0.025117 5.7669415433e-01 -275288.218750 301.73
229000 0.028535 5.8925547412e-01 -275289.343750 302.34
229500 0.025893 5.8687825446e-01 -275289.437500 298.49
230000 0.032025 6.0585423969e-01 -275289.937500 303.29
230500 0.030913 6.0706324560e-01 -275289.281250 298.46
231000 0.023252 5.9222961258e-01 -275288.343750 308.81
